LAKE NAME,DATE,SECCHI,LAKE TEMP,TIME,Year,Month,Day
Flathead Mission View Terrace,7/22/1994,2.62128,24.0,12:45,1994,7,22
Flathead Marco Bay,7/22/1994,2.359152,22.0,14:30,1994,7,22
Flathead Indian Bay,7/22/1994,3.16992,23.0,13:45,1994,7,22
Rogers,7/23/1994,1.58496,23.0,12:00,1994,7,23
Skyles,7/23/1994,1.2192,25.0,13:20,1994,7,23
Bailey,7/24/1994,1.31064,20.0,15:30,1994,7,24
Flathead Woods Bay,7/24/1994,3.70332,17.0,15:00,1994,7,24
Flathead Rollins Bay 2,7/25/1994,3.3528,22.0,9:30,1994,7,25
Flathead Rollins Bay 1,7/25/1994,,22.0,9:30,1994,7,25
Glen,7/25/1994,1.670304,25.0,15:00,1994,7,25
Jette,7/25/1994,1.8288,23.5,19:00,1994,7,25
Swan,7/25/1994,1.911096,22.0,9:30,1994,7,25
Whitefish,7/25/1994,2.56032,20.0,12:00,1994,7,25
Whitefish,7/25/1994,2.57556,21.0,13:00,1994,7,25
Flathead Crescent Bay,7/26/1994,1.795272,17.0,13:00,1994,7,26
Flathead Sessions Point,7/26/1994,3.01752,21.0,12:17,1994,7,26
Swan,7/27/1994,1.886712,22.0,10:45,1994,7,27
Swan,7/27/1994,2.95656,20.1,18:30,1994,7,27
Flathead Woods Bay,7/28/1994,3.575304,19.0,15:20,1994,7,28
Halfmoon,7/28/1994,1.484376,27.0,19:35,1994,7,28
Blanchard,7/29/1994,1.49352, ,15:15,1994,7,29
Flathead North East Shore,7/29/1994,3.529584,19.5,13:00,1994,7,29
Loon,7/31/1994,1.92024,24.0,12:30,1994,7,31
Swan,7/31/1994,2.459736,23.0,18:00,1994,7,31
Flathead Marco Bay,8/1/1994,2.810256,21.0,13:05,1994,8,1
Mary Ronan,8/2/1994,2.459736,21.0,14:00,1994,8,2
Mary Ronan,8/2/1994,2.654808,21.0,14:00,1994,8,2
Ashley,8/3/1994,3.435096,11.3,16:35,1994,8,3
Ashley,8/3/1994,3.621024,11.9,9:05,1994,8,3
Flathead Polson Bay,8/4/1994,1.8288,23.5,12:40,1994,8,4
Flathead Narrows Site 4,8/4/1994,2.298192,22.0,14:45,1994,8,4
Flathead Narrows Site 3,8/4/1994,2.9718,22.0,14:45,1994,8,4
Flathead Indian Bay,8/4/1994,2.92608,23.0,13:15,1994,8,4
Flathead East Mack Alley,8/4/1994,2.83464,21.0,12:30,1994,8,4
Flathead Conrad ,8/5/1994,2.883408,26.0,13:30,1994,8,5
Bailey,8/6/1994,1.524,20.0,12:00,1994,8,6
Flathead Woods Bay,8/6/1994,3.343656,19.5,11:40,1994,8,6
Flathead North East Shore,8/6/1994,3.435096,20.0,13:00,1994,8,6
Halfmoon,8/6/1994,1.578864,28.0,15:10,1994,8,6
Flathead Rollins Bay 2,8/7/1994,3.07848,24.0,12:45,1994,8,7
Flathead Rollins Bay 1,8/7/1994,3.048,23.0,12:45,1994,8,7
Glen,8/7/1994,2.136648,23.0,15:30,1994,8,7
Loon,8/9/1994,2.25552,24.0,10:30,1994,8,9
Mary Ronan,8/9/1994,2.429256,21.1,13:50,1994,8,9
Mary Ronan,8/9/1994,2.676144,21.1,13:50,1994,8,9
Rogers,8/10/1994,1.594104,22.0,14:30,1994,8,10
Swan,8/11/1994,2.267712,20.0,16:00,1994,8,11
Swan,8/11/1994,2.218944,21.0,9:00,1994,8,11
Swan,8/11/1994,2.62128,20.0,7:25,1994,8,11
Flathead Woods Bay,8/12/1994,2.877312,20.0,9:30,1994,8,12
Flathead North East Shore,8/12/1994,2.9718,19.5,13:00,1994,8,12
Jette,8/12/1994,1.591056,24.0,13:00,1994,8,12
Flathead Rollins Bay 2,8/13/1994,2.92608,25.0,14:00,1994,8,13
Flathead Rollins Bay 1,8/13/1994,2.49936,24.0,14:00,1994,8,13
Flathead Polson Bay,8/13/1994,1.484376,24.0,13:10,1994,8,13
Flathead Narrows Site 4,8/13/1994,2.508504,24.0,19:15,1994,8,13
Flathead Narrows Site 3,8/13/1994,2.9718,24.0,19:15,1994,8,13
Beaver,8/14/1994,1.48644864,5.0,14:30,1994,8,14
Beaver,8/14/1994,1.76515776,16.0,14:30,1994,8,14
Ashley,8/15/1994,2.136648,7.0,15:15,1994,8,15
Ashley,8/15/1994,2.785872,9.1,15:00,1994,8,15
Flathead Marco Bay,8/15/1994,3.057144,20.0,19:00,1994,8,15
Swan,8/15/1994,2.414016,21.0,13:30,1994,8,15
Flathead Sessions Point,8/18/1994,2.877312,22.0,10:00,1994,8,18
Lake Five,8/18/1994,2.04216,12.0,14:30,1994,8,18
Flathead Crescent Bay,8/19/1994,2.136648,17.0,14:15,1994,8,19
Flathead Conrad ,8/20/1994,3.343656,24.0,18:45,1994,8,20
Glen,8/20/1994,1.764792,20.0,15:30,1994,8,20
Jette,8/20/1994,1.524,24.8,13:00,1994,8,20
Flathead Narrows Site 4,8/21/1994,2.508504,24.0,15:30,1994,8,21
Flathead Narrows Site 3,8/21/1994,3.438144,24.0,15:30,1994,8,21
Flathead Indian Bay,8/21/1994,2.694432,20.0,17:00,1994,8,21
Tally,8/22/1994,1.856232,19.0,19:00,1994,8,22
Halfmoon,8/23/1994,,21.0,16:24,1994,8,23
Whitefish,8/23/1994,2.56032,20.0,15:00,1994,8,23
Whitefish,8/23/1994,2.83464,20.0,16:00,1994,8,23
Beaver,8/25/1994,1.57935168,20.0,15:00,1994,8,25
Blanchard,8/25/1994,1.161288,22.0,19:05,1994,8,25
Flathead East Mack Alley,8/25/1994,2.7432,20.0,9:00,1994,8,25
Swan,8/25/1994,2.414016,18.0,19:45,1994,8,25
Swan,8/27/1994,2.612136,17.0,18:00,1994,8,27
Flathead Somers Bay,8/28/1994,2.08788,18.0,19:25,1994,8,28
Flathead Mission View Terrace,8/28/1994,2.34696,18.0,19:25,1994,8,28
Rogers,8/28/1994,1.673352,17.0,11:30,1994,8,28
